Date,Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
20070701,-0.009291322,-0.008067973,-0.042038526,-0.04261407,-0.034671095,-0.022507594,-0.03145639,-0.037939065,-0.028809481
20070801,-0.007396539,-0.035530679,-0.024673101,-0.004343213,-0.010383192,-0.011415927,-0.02112148,0.007072903,-0.008698921
20070901,0.090032959,0.012053699,0.045530662,0.068329983,0.031442587,0.031518328,0.028500984,0.030397993,0.040101237
20071001,0.086555094,-0.010066881,0.032177775,0.040542178,0.02738868,0.013214426,0.051956046,0.009812804,0.023857809
20071101,-0.118374426,-0.02449399,-0.023984851,-0.018422808,-0.02470947,-0.00468519,-0.062794026,-0.050422956,-0.048445958
20071201,0.019196256,-0.046115007,-0.020284934,0.010791059,-0.02060071,-0.045035539,-0.033636265,-0.013384772,-0.019742891
20080101,-0.071030756,-0.051747445,-0.126826328,-0.146197497,-0.103169216,-0.062147213,-0.095721833,-0.067833442,-0.083075006
20080201,0.054381493,0.000615593,0.010554596,0.007163128,-0.008069494,0.014227393,-0.005797297,-0.03926822,-0.013355699
20080301,-0.063121908,-0.054741242,0.019045947,0.004671392,-0.026146321,0.005239788,-0.036286215,-0.011324626,-0.018474237
20080401,0.063291614,0.066479569,0.034220797,0.027992189,0.049920436,-0.012085762,0.055483966,0.042341542,0.043801621
20080501,0.068354518,0.019015528,-0.000802825,-0.003386635,-0.030857109,-0.011710939,-0.015921313,0.007842538,0.005092202
20080601,-0.044162499,-0.074734129,-0.107195346,-0.086274173,-0.116927657,-0.05993221,-0.07159842,-0.089121696,-0.087008648
20080701,-0.077077191,-0.04011077,-0.026178403,-0.016480849,-0.051333783,-0.011327991,-0.048204145,-0.018816571,-0.031268716
20080801,-0.027193195,-0.04595451,-0.040924173,-0.067085396,-0.049276398,-0.035155748,-0.044769632,0.005544834,-0.02197572
20080901,-0.149578829,-0.125022852,-0.150044257,-0.15095462,-0.15823151,-0.107905372,-0.156266816,-0.099404398,-0.126771973
20081001,-0.277549833,-0.153878444,-0.230327672,-0.235688321,-0.24224483,-0.128668038,-0.197268157,-0.178470922,-0.196451464
20081101,-0.06501194,-0.018293808,-0.066337502,-0.095508969,-0.067529489,-0.096896857,-0.076993474,-0.082759839,-0.073191785
20081201,-0.037214465,0.074187553,0.078457717,0.122056978,0.061950259,0.080631078,-0.035876572,0.004160093,0.024573642
20090101,-0.043681581,-0.073987692,-0.148968971,-0.176644982,-0.145207806,-0.127547973,-0.068866646,-0.088774919,-0.094455445
20090201,-0.093908632,-0.130193315,-0.101445459,-0.131844848,-0.143492757,-0.119361301,-0.094925134,-0.11181598,-0.110865485
20090301,0.084498463,0.006247699,0.076959004,0.10000798,0.063753421,0.070127803,0.026372314,0.077527778,0.066387373
20090401,0.130201527,0.090293162,0.119006653,0.147890515,0.178802911,0.057422468,0.1157101,0.088288777,0.103050242
20090501,0.204092249,0.096459598,0.097201753,0.072356799,0.10989269,0.087616621,0.126411778,0.046317562,0.080200274
20090601,-0.062338049,0.011221937,-0.051616969,-0.040360128,-0.054241047,-0.015540549,-0.022865959,-0.005493307,-0.012140181
20090701,0.111798597,0.036445683,0.098049044,0.111728866,0.077406379,0.105146792,0.085321552,0.067907675,0.077714711
20090801,-0.021956584,0.033116015,0.071641494,0.035699396,0.087352664,0.059107915,0.042867016,0.026383781,0.033096322
20090901,0.064212204,-0.029352416,0.055192516,0.052371567,0.061446803,0.030215671,0.020195387,0.031215499,0.032122732
20091001,-0.05915966,-0.031049568,-0.045964536,-0.045800863,-0.055591272,-0.001267927,0.005968558,-0.026545719,-0.024469634
20091101,0.06620251,-0.01613475,0.029795925,0.045389526,0.004150406,0.010701677,0.017479371,0.050941687,0.032725512
20091201,0.0229145,0.000964714,0.016364961,0.006101024,0.004744131,0.010374277,0.019564702,0.013008256,0.010937234
20100101,-0.081561064,0.012954634,-0.079910934,-0.094662241,-0.090619596,-0.039409362,-0.05469484,-0.042045502,-0.0478762
20100201,0.050547024,0.004852675,-0.029232109,-0.028254264,-0.061881054,0.012827619,-0.025866321,0.022494978,0.00633635
20100301,0.074504625,0.035894259,0.056158341,0.084462325,0.066818932,0.042521294,0.049389285,0.05229402,0.053277468
20100401,0.006524393,-0.007968881,-0.057588107,-0.032375735,-0.07573507,-0.06418718,-0.019543038,0.008979036,-0.00763761
20100501,-0.076088727,-0.086910525,-0.152276473,-0.125985193,-0.170622663,-0.116553567,-0.119307332,-0.088682541,-0.105087742
20100601,-0.059900745,-0.026454341,-0.024634399,-0.008936335,-0.020029463,0.036636961,-0.030738132,-0.06071161,-0.041634344
20100701,0.063442549,0.029238137,0.117016958,0.088898027,0.152277976,0.042101693,0.113855796,0.062637646,0.074189336
20100801,-0.02669966,-0.029138656,-0.068132965,-0.065283225,-0.080471793,0.018928946,-0.030784515,-0.052664158,-0.045230068
20100901,0.069774136,0.031813353,0.138842873,0.126524618,0.106344356,0.04856602,0.081826175,0.083213626,0.085140086
20101001,0.023419456,0.014427508,0.044862685,0.072080671,0.057577997,0.016802126,0.03187355,0.032196954,0.030492723
20101101,0.002926142,0.014848526,-0.118965774,-0.056801315,-0.165611072,-0.042077113,-0.058272435,-0.007214488,-0.029455564
20101201,0.068461524,0.069308482,0.080831818,0.063993888,0.081924272,0.084483378,0.066111267,0.059184922,0.066483281
20110101,-0.003294012,-0.004799199,0.063428776,0.034248956,0.105279566,-0.009222054,0.012943329,0.016958444,0.015883161
20110201,0.065810231,0.039250759,0.028578011,0.028781802,0.022020427,0.025715092,0.033047196,0.025305527,0.027303697
20110301,-0.00820883,-0.106680155,-0.006933009,-0.010185768,-0.010155827,-0.026793217,-0.035139545,-0.006315699,-0.018371573
20110401,0.004147428,-0.002428599,0.069309591,0.099762539,0.073618517,0.076544437,0.062151541,0.023482959,0.034223234
